din4108 | set-document/default | set-document document { category=residential climate=zone2 airtightness-n50=2.5 psi-times-l-sum=0.02 rh-int=0.5 catalog-id=AW-01 material-id=mineral_wool airtightness-class=class2 t-int-c=20 solar-absorptance=0.6 irradiance-w-m2=600 moisture-mu-exterior=15 moisture-mu-interior=1.3 envelope-area-m2=100m2 bb2-details-conform=true application-type=DEO declared-application-class=dk layers [thickness-m:QTY lambda-w-mk:NUM] { 0.24m 0.81 0.14m 0.035 } } | 208 | 0100060541572d30310344454f06636c6173733202646b0c6d696e6572616c5f776f6f6c0b7265736964656e7469616c01000e0d1200060501140202000004b81e85eb51b8ce3fec51b81e85ebc13f010004ec51b81e85ebe93fec51b81e85eba13f020a010305000000000000044004057b14ae47e17a943f0505000000000000e03f060600070604080602090500000000000034400a05333333333333e33f0b050000000000c082400c050000000000002e400d05cdccccccccccf43f0e0500000000000059400f02100601110603
din18599 | selected-check/none | selected-check | 4 | 01020000
en1990 | set-document/default | set-document document { g-k=100 resistance-kn=300kN consequence-class=2 annex=de seismic-a-ed-kn=40kN q-k [category:TEXT value:NUM] { office 50 wind 30 } } | 84 | 010002066f66666963650477696e6401000e0d060005000000000000594001140202000005000101000400000000000049400000000000003e4002050000000000c07240030402040a0105050000000000004440
en1990 | evaluate | evaluate | 4 | 01010000
en1990 | selected-check/some | selected-check index=2 | 7 | 01020001000402
en1990 | selected-check/none | selected-check | 4 | 01020000
en1991 | set-document/default | set-document document { area-m2=50m2 category=b annex=de self-weight-material=reinforced_concrete self-weight-thickness-m=0.2m assumed-g-k-kn-m2=6kN/m2 fire-curve=standard fire-resistance-min=30 fire-member-capacity-c=900 snow-zone=2 snow-altitude-m=150m en-s-k-kn-m2=0.85kN/m2 wind-zone=2 en-v-b-m-s=25m/s delta-t-k=30K construction-activity=scaffolding accidental-mass-t=30t accidental-speed-km-h=80 bridge-lane=1 bridge-span-m=20m bridge-lane-width-m=3m bridge-moment-resistance-knm=3000 crane-class=HC2 hoist-class=HC2 hoisting-speed-m-s=0.5m/s silo-bulk-density-kn-m3=8 silo-height-m=12m silo-hydraulic-radius-m=1.5m silo-mu=0.4 silo-k=0.4 c-s=1 c-d=1 } | 294 | 01000303484332137265696e666f726365645f636f6e63726574650b73636166666f6c64696e6701000e0d2000050000000000004940010a01020a0103060104059a9999999999c93f05050000000000001840060a0007050000000000003e4008050000000000208c400904020a050000000000c062400b05333333333333eb3f0c04020d0500000000000039400e050000000000003e400f060210050000000000003e401105000000000000544012040113050000000000003440140500000000000008401505000000000070a7401606001706001805000000000000e03f190500000000000020401a0500000000000028401b05000000000000f83f1c059a9999999999d93f1d059a9999999999d93f1e05000000000000f03f1f05000000000000f03f
en1991 | evaluate | evaluate | 4 | 01010000
en1991 | selected-check/some | selected-check index=2 | 7 | 01020001000402
en1991 | selected-check/none | selected-check | 4 | 01020000
en1992 | set-document/default | set-document document { annex=de m-ed-knm=120 v-ed-kn=80kN f-ck=30 b-mm=300mm d-mm=450mm a-s-mm2=1200mm2 f-yk=500 rho-l=0.01 n-ed-kn=0kN p-kn=0kN a-c-mm2=135000mm2 use-fem=false span-m=6m udl-kn-m=20 fire-rating=r60 provided-axis-distance-mm=30mm bridge-sigma-c-mpa=12MPa bridge-delta-sigma-s-mpa=100MPa tightness-class=tc1 hd-over-h=10 liquid-sigma-s-mpa=200MPa liquid-rho-p-eff=0.01 liquid-f-ct-eff-mpa=2.9MPa liquid-e-s-mpa=200000MPa liquid-s-r-max-mm=250mm anchor-h-ef-mm=80mm anchor-cracked=false anchor-f-uk-mpa=800MPa anchor-f-yk-mpa=640MPa anchor-a-s-mm2=84.3mm2 anchor-d-mm=12mm anchor-c1-mm=100mm anchor-n-ed-kn=10kN anchor-v-ed-kn=5kN } | 321 | 01000001000e0d23000a0101050000000000005e400205000000000000544003050000000000003e4004050000000000c0724005050000000000207c4006050000000000c0924007050000000000407f4008057b14ae47e17a843f090500000000000000000a0500000000000000000b0500000000c07a00410c010d0500000000000018400e0500000000000034400f0a0110050000000000003e401105000000000000284012050000000000005940130a01140500000000000024401505000000000000694016057b14ae47e17a843f17053333333333330740180500000000006a084119050000000000406f401a0500000000000054401b011c0500000000000089401d0500000000000084401e0533333333331355401f050000000000002840200500000000000059402105000000000000244022050000000000001440
en1992 | evaluate | evaluate | 4 | 01010000
en1992 | selected-check/some | selected-check index=2 | 7 | 01020001000402
en1992 | selected-check/none | selected-check | 4 | 01020000
en1993 | set-document/default | set-document document { annex=de n-ed-kn=500kN m-ed-knm=150 v-ed-kn=80kN a-mm2=5000mm2 a-v-mm2=2500mm2 w-pl-mm3=500000 f-y-mpa=355MPa f-u-mpa=510MPa chi=0.75 a-net-mm2=4250mm2 tension-n-ed-kn=400kN fire-thickness-mm=20mm fire-rating=r60 fire-massivity=150 fire-mu-0=0.5 fire-design-temperature-c=550 cf-b-bar-mm=90mm cf-t-mm=2mm cf-k-sigma=4 cf-psi=1 cf-n-ed-kn=20kN cf-gross-resistance-kn=50kN stainless-m-ed-knm=40 stainless-w-pl-mm3=300000 stainless-f-y-mpa=220MPa plated-lambda-p=0.8 plated-sigma-ed-mpa=200MPa silo-t-mm=8mm silo-r-mm=3000mm shell-sigma-x-ed-mpa=150MPa silo-k=0.4 silo-gamma-kn-m3=18 silo-depth-m=5m bolt-f-ed-kn=120kN bolt-n-bolts=2 bolt-a-s-mm2=245mm2 bolt-e1-mm=40mm bolt-e2-mm=40mm bolt-d0-mm=22mm bolt-d-mm=20mm bolt-t-mm=10mm bolt-f-u-mpa=510MPa bolt-f-ub-mpa=800MPa weld-a-mm=5mm weld-l-mm=100mm weld-f-u-mpa=510MPa weld-steel-grade=S355 weld-f-ed-kn=80kN delta-sigma-mpa=50MPa fatigue-category=71 fatigue-method=damage_tolerant t10-steel-subgrade=J2 t10-actual-thickness-mm=25mm t10-t-ed-c=0 tension-component-f-uk-kn=500kN tension-component-f-k-kn=350kN tension-component-n-ed-kn=250kN hss-w-el-mm3=400000 hss-f-y-mpa=460MPa hss-section-class=2 hss-m-ed-knm=100 bridge-lambda=1 bridge-phi-2=1 bridge-delta-sigma-p-mpa=30MPa tower-wind-factor=1.1 tower-n-ed-kn=300kN pile-sigma-mpa=280MPa pile-k-red=0.85 pile-n-ed-kn=400kN crane-f-z-ed-kn=50kN crane-wheel-contact-length-mm=100mm crane-dispersion-mm=50mm crane-t-w-mm=10mm } | 720 | 010004024a3204533335350f64616d6167655f746f6c6572616e740372363001000e0d4a000a0101050000000000407f4002050000000000c06240030500000000000054400405000000000088b3400505000000000088a34006050000000080841e410705000000000030764008050000000000e07f400905000000000000e83f0a0500000000009ab0400b0500000000000079400c0500000000000034400d06030e050000000000c062400f05000000000000e03f100500000000003081401105000000000080564012050000000000000040130500000000000010401405000000000000f03f150500000000000034401605000000000000494017050000000000004440180500000000804f124119050000000000806b401a059a9999999999e93f1b0500000000000069401c0500000000000020401d05000000000070a7401e050000000000c062401f059a9999999999d93f200500000000000032402105000000000000144022050000000000005e4023040224050000000000a06e4025050000000000004440260500000000000044402705000000000000364028050000000000003440290500000000000024402a050000000000e07f402b0500000000000089402c0500000000000014402d0500000000000059402e050000000000e07f402f06013005000000000000544031050000000000004940320447330602340600350500000000000039403605000000000000000037050000000000407f4038050000000000e0754039050000000000406f403a0500000000006a18413b050000000000c07c403c04023d0500000000000059403e05000000000000f03f3f05000000000000f03f40050000000000003e4041059a9999999999f13f42050000000000c07240430500000000008071404405333333333333eb3f4505000000000000794046050000000000004940470500000000000059404805000000000000494049050000000000002440
en1993 | evaluate | evaluate | 4 | 01010000
en1993 | selected-check/some | selected-check index=2 | 7 | 01020001000402
en1993 | selected-check/none | selected-check | 4 | 01020000
en1994 | set-document/default | set-document document { annex=de m-ed-knm=200 v-ed-kn=120kN m-pla=80 m-pl-rd=250 eta=0.75 v-l-rd=150 insulation-thickness-mm=20mm fire-rating=r60 deck-type=trapezoidal delta-sigma-mpa=65MPa fatigue-detail=stud_welded d-mm=19mm h-sc-mm=95mm f-ck-mpa=30MPa f-u-mpa=450MPa e-cm-mpa=33000MPa v-ed-per-stud-kn=40kN span-m=8m f-y-mpa=355MPa n-cycles-stud=2000000 delta-tau-stud-mpa=40MPa } | 228 | 010003037236300b737475645f77656c6465640b74726170657a6f6964616c01000e0d16000a010105000000000000694002050000000000005e400305000000000000544004050000000000406f400505000000000000e83f06050000000000c06240070500000000000034400806000906020a0500000000004050400b06010c0500000000000033400d050000000000c057400e050000000000003e400f050000000000207c40100500000000001de04011050000000000004440120500000000000020401305000000000030764014050000000080843e4115050000000000004440
en1994 | evaluate | evaluate | 4 | 01010000
en1994 | selected-check/some | selected-check index=2 | 7 | 01020001000402
en1994 | selected-check/none | selected-check | 4 | 01020000
en1995 | set-document/default | set-document document { annex=de m-ed-knm=25 n-ed-kn=50kN v-ed-kn=15kN w-mm3=1000000 a-mm2=20000mm2 b-mm=200mm h-mm=300mm f-m-k=24 f-c-0-k=21 service-class=sc1 load-duration=medium m-crit-knm=80 f-ed-kn=18kN a-ef-mm2=12000mm2 f-v-k=4 fire-duration-min=30 section-depth-mm=300mm a-vert-m-s2=0.3m/s2 n-cycles-bridge=500000 } | 198 | 010002066d656469756d0373633101000e0d14000a01010500000000000039400205000000000000494003050000000000002e4004050000000080842e410505000000000088d3400605000000000000694007050000000000c0724008050000000000003840090500000000000035400a06010b06000c0500000000000054400d0500000000000032400e05000000000070c7400f05000000000000104010050000000000003e4011050000000000c072401205333333333333d33f13050000000080841e41
en1995 | evaluate | evaluate | 4 | 01010000
en1995 | selected-check/some | selected-check index=2 | 7 | 01020001000402
en1995 | selected-check/none | selected-check | 4 | 01020000
en1996 | set-document/default | set-document document { m-ed-knm=8 n-ed-kn=200kN v-ed-kn=35kN h-ed-kn=20kN z-mm3=8000000 area-mm2=500000mm2 shear-area-mm2=300000mm2 f-k-mpa=5MPa f-vk-mpa=0.15MPa annex=de masonry-class=class3 design-situation=persistent mu=0.4 wall-thickness-mm=240mm fire-resistance-min=60 unit=clay exposure=mx1 mortar=m5 bed-joint-thickness-mm=12mm storeys=2 h-ef-mm=2500mm t-ef-mm=240mm } | 177 | 01000104636c617901000e0d160005000000000000204001050000000000006940020500000000008041400305000000000000344004050000000080845e4105050000000080841e41060500000000804f1241070500000000000014400805333333333333c33f090a010a0a020b0a000c059a9999999999d93f0d050000000000006e400e043c0f0600100a00110a02120500000000000028401304021405000000000088a34015050000000000006e40
en1996 | evaluate | evaluate | 4 | 01010000
en1996 | selected-check/some | selected-check index=2 | 7 | 01020001000402
en1996 | selected-check/none | selected-check | 4 | 01020000
en1997 | set-document/default | set-document document { v-ed-kn=500kN h-ed-kn=80kN footing-area-m2=2m2 phi-deg=30 c-kpa=0kPa gamma-kn-m3=18 b-m=2m d-f-m=1.5m e-s-mpa=30000MPa nu=0.3 design-approach=da1str annex=de settlement-limit-mm=25mm n-pile-ed-kn=800kN alpha-s=0.7 pile-d-m=0.6m q-s-kpa=80kPa pile-l-m=12m q-b-kpa=2500kPa pile-base-area-m2=0.28m2 pile-n-profiles=1 z-investigated-m=8m } | 214 | 0100010664613173747201000e0d1600050000000000407f40010500000000000054400205000000000000004003050000000000003e400405000000000000000005050000000000003240060500000000000000400705000000000000f83f080500000000004cdd400905333333333333d33f0a06000b0a010c0500000000000039400d0500000000000089400e05666666666666e63f0f05333333333333e33f10050000000000005440110500000000000028401205000000000088a3401305ec51b81e85ebd13f14040115050000000000002040
en1997 | evaluate | evaluate | 4 | 01010000
en1997 | selected-check/some | selected-check index=2 | 7 | 01020001000402
en1997 | selected-check/none | selected-check | 4 | 01020000
en1998 | set-document/default | set-document document { seismic-zone=2 ground-type=b importance-class=cc2 structural-system=moment_frame_dch t1-s=0.3s mass-t=500t v-rd-kn=800kN drift-mm=20mm height-m=12m multiple-resisting-systems=true annex=de en-a-gr=0.15 en-ground-type=b en-spectrum-type=type1 period-ratio=2 bridge-v-rd-kn=600kN bearing-d-ed-mm=120mm bearing-d-rd-mm=250mm retrofit-knowledge-level=kl2 retrofit-limit-state=significant_damage retrofit-e-d-kn=250kN retrofit-r-k-kn=400kN retrofit-gamma-el=1 silo-height-m=10m silo-radius-m=5m silo-n-rd-kn=500kN silo-v-ed-kn=180kN silo-v-rd-kn=300kN silo-q-nominal=2 tank-height-m=8m tank-radius-m=4m tank-mass-t=300t tank-v-rd-kn=400kN tower-m-ed-knm=1200 tower-m-rd-knm=2500 tower-is-chimney=true tower-q-nominal=2.5 tower-mass-t=80t foundation-area-m2=100m2 foundation-p-rd-kpa=500kPa foundation-h-ed-kn=150kN foundation-h-rd-kn=400kN k-foundation=500000 k-soil=200000 wall-height-m=4m wall-phi-deg=30 wall-soil-gamma-kn-m3=18 wall-r=1.5 wall-h-rd-kn=150kN } | 474 | 010007016203636332026465036b6c32106d6f6d656e745f6672616d655f646368127369676e69666963616e745f64616d61676505747970653101000e0d310004020106000206010306040405333333333333d33f05050000000000407f4006050000000000008940070500000000000034400805000000000000284009020a06020b05333333333333c33f0c06000d06060e0500000000000000400f050000000000c0824010050000000000005e4011050000000000406f4012060313060514050000000000406f40150500000000000079401605000000000000f03f170500000000000024401805000000000000144019050000000000407f401a0500000000008066401b050000000000c072401c0500000000000000401d0500000000000020401e0500000000000010401f050000000000c072402005000000000000794021050000000000c092402205000000000088a340230224050000000000000440250500000000000054402605000000000000594027050000000000407f4028050000000000c06240290500000000000079402a050000000080841e412b0500000000006a08412c0500000000000010402d050000000000003e402e0500000000000032402f05000000000000f83f30050000000000c06240
en1998 | evaluate | evaluate | 4 | 01010000
en1998 | selected-check/some | selected-check index=2 | 7 | 01020001000402
en1998 | selected-check/none | selected-check | 4 | 01020000
en1999 | set-document/default | set-document document { n-ed-kn=80kN m-ed-knm=4 a-mm2=1200mm2 w-el-mm3=24000 alloy=aw6060t6 chi=0.85 i-t-mm4=5000mm4 l-cr-mm=3000mm theta-c=200 delta-sigma-ed=45 delta-sigma-c=71 fatigue-m=8 n-cycles=500000 v-weld-ed-kn=25kN weld-throat-mm=4mm weld-length-mm=120mm beta-w=0.63 sheet-b-mm=200mm sheet-t-mm=2mm sheet-k-sigma=4 sheet-w-el-mm3=8000 sheet-m-ed-knm=0.5 shell-t-mm=4mm shell-r-mm=500mm sigma-ed-shell-mpa=150MPa annex=de } | 263 | 01000108617736303630743601000e0d1a000500000000000054400105000000000000104002050000000000c092400305000000000070d7400406000505333333333333eb3f0605000000000088b3400705000000000070a74008050000000000006940090500000000008046400a050000000000c051400b0500000000000020400c050000000080841e410d0500000000000039400e0500000000000010400f050000000000005e401005295c8fc2f528e43f1105000000000000694012050000000000000040130500000000000010401405000000000040bf401505000000000000e03f1605000000000000104017050000000000407f4018050000000000c06240190a01
en1999 | evaluate | evaluate | 4 | 01010000
en1999 | selected-check/some | selected-check index=2 | 7 | 01020001000402
en1999 | selected-check/none | selected-check | 4 | 01020000
iso16757 | set-document/default | set-document document { exchange-process=determineProduct catalogue=id=cat.demo metadata=edition-profile=fullPublished names=short-name=Demo preferred=locale=en text="Demo HVAC catalogue" alternatives [locale:TEXT text:TEXT] { } lifecycle=revision="1" status=published manufacturer=id=mfg.demo names=preferred=locale=en text="Demo Manufacturer" alternatives [locale:TEXT text:TEXT] { de "Demo Hersteller" } dictionary=id=hvac-dict version="2025-01" accessories={ } compositions={ } extensions=fields={ } product-groups [id:TEXT names:REC dictionary-subject-id:TEXT] { group.valves {preferred=locale=en text=Valves alternatives [locale:TEXT text:TEXT] { }} subject.valve } product-classes [id:TEXT group-id:TEXT parent-id:TEXT names:REC required-property-ids:LIST optional-property-ids:LIST] { class.valve group.valves _ {preferred=locale=en text="Control valve" alternatives [locale:TEXT text:TEXT] { }} [ prop.dn ] [ ] } product-series [id:TEXT class-id:TEXT names:REC shared-property-values:MAP geometry-id:TEXT] { series.cv class.valve {preferred=locale=en text="CV series" alternatives [locale:TEXT text:TEXT] { }} { } geom.valve.50 } products [id:TEXT series-id:TEXT names:REC parameter-domains:LIST variants:LIST static-properties:LIST] { product.cv series.cv {preferred=locale=en text=CV-50 alternatives [locale:TEXT text:TEXT] { }} [ parameter-id=dn allowed-values=[ { kind="decimal" value=50 } ] default-value={ kind="decimal" value=50 } ] [ id=variant.50 article-number=CV-50 geometry-id=geom.valve.50 parameter-values={ dn={ kind="decimal" value=50 } } property-values=[ definition-id=prop.dn value={ kind="decimal" value=50 } ] ] [ ] } product-indexes [id:TEXT product-id:TEXT variant-id:TEXT search-tags:LIST] { index.cv50 product.cv variant.50 [ valve dn50 ] } property-definitions [id:TEXT names:REC data-type:TEXT unit:REC cardinality:REC kind:ENUM dictionary-property-id:TEXT] { prop.dn {preferred=locale=en text="Nominal diameter" alternatives [locale:TEXT text:TEXT] { }} decimal {symbol=mm si-factor=0.001 dimension=length=1 mass=0 time=0 temperature=0} {min=1 max=1} static prop.dn } descriptive-objects [id:TEXT media-type:TEXT uri:TEXT language:TEXT checksum:TEXT] { } dictionary=reference=id=hvac-dict version="2025-01" subjects [id:TEXT kind:ENUM names:REC definition:REC parent-id:TEXT] { subject.valve productClass {short-name=Valve preferred=locale=en text="Control valve" alternatives [locale:TEXT text:TEXT] { de Regelventil fr "Vanne de régulation" }} {locale=en text="Flow control valve"} _ } relationships [id:TEXT kind:ENUM source-id:TEXT target-id:TEXT cardinality:REC] { } properties [id:TEXT names:REC kind:ENUM data-type:TEXT unit:REC applicable-subject-ids:LIST value-constraints:LIST] { prop.dn {preferred=locale=en text="Nominal diameter" alternatives [locale:TEXT text:TEXT] { }} static decimal {symbol=mm si-factor=0.001 dimension=length=1 mass=0 time=0 temperature=0} [ subject.valve ] [ min=15 max=300 allowed-values=[ ] ] } controlled-lists [id:TEXT values:LIST context-subject-ids:LIST] { dn.list [ "50" "80" "100" ] [ subject.valve ] } meta-subjects [id:TEXT kind:ENUM names:REC definition:REC parent-id:TEXT] { } geometry=objects={ geom.valve.50=id=geom.valve.50 shape { primitive kind=box parameters={ depth=0.1 height=0.2 width=0.15 } } symbolic { } spaces=[ kind=installation bounds=min=0,0,0 max=0.3,0.3,0.3 ] surfaces=[ ] ports=[ id=port.in medium=water position=0,0.1,0.05 direction=1,0,0 port-type=inlet ] parameter-bindings={ width=prop.dn } } primitive-registry [id:TEXT parameters:LIST] { box [ width height depth ] cylinder [ radius height ] sphere [ radius ] } selection=class-id=class.valve series-id=series.cv constraints=[ property-id=prop.dn operator=equal value={ kind="decimal" value=50 } ] part-number-rule={ function_id="partno" kind="script" source="dn * 10 + 50" } part-number-inputs={ dn={ kind="decimal" value=50 } } script-limits=max-steps=10000 max-recursion=64 timeout-ms=50 } | 1654 | 01003601310331303007323032352d3031023530023830094356207365726965730543562d35300d436f6e74726f6c2076616c76650444656d6f1344656d6f204856414320636174616c6f6775650f44656d6f204865727374656c6c65721144656d6f204d616e75666163747572657212466c6f7720636f6e74726f6c2076616c7665104e6f6d696e616c206469616d657465720b526567656c76656e74696c0556616c76650656616c7665731456616e6e652064652072c3a967756c6174696f6e03626f78086361742e64656d6f0b636c6173732e76616c76650863796c696e64657202646507646563696d616c05646570746802646e0c646e202a203130202b20353007646e2e6c69737404646e353002656e0266720d67656f6d2e76616c76652e35300c67726f75702e76616c7665730668656967687409687661632d646963740a696e6465782e6376353005696e6c6574086d66672e64656d6f026d6d06706172746e6f07706f72742e696e097072696d69746976650a70726f647563742e63760770726f702e646e097075626c69736865640672616469757306736372697074097365726965732e6376067370686572650d7375626a6563742e76616c76650576616c76650a76617269616e742e353005776174657205776964746801000e0d08000d0e000613010d03000d03000d0200061d01060901060802140002000005010005010d0200060001062c020a04020d02000625010d02000d0200061d01060b02140102000005160100050a030d0200062201060204140103000005200100000d02000d0200061d0106100214000200000501000502000531051401060000051401000520020100050300000d02000d0200061d010607021400020000050100050400000c01062b0500000c00061401050000052f010005140200000d02000d0200061d0106050214000200000501000503000010000400051f071401060000052a0100052f0200000d02000d0200061d010606021400020000050100050300000c010d03000619010c0111100207046b696e640617070576616c75650500000000000049400211100207046b696e640617070576616c75650500000000000049400400000c010d05000633011001061911100207046b696e640617070576616c7565050000000000004940020c010d0200062b0111100207046b696e640617070576616c756505000000000000494003060604061f0500000c0008140104000005230100052a020005330300000c020632061c091401070000052b0100000d02000d0200061d01060d02140002000005010005020005170300000d03000626010d040003020103000203000303000205fca9f1d24d62503f0400000d02000401010401050006000600052b0a10000b10000c1400050000050100050200050300050400050d0d01001000010d06000d020006220106020114010500000531010006010200000d03000d0200061d01060701060f02140202000005161e0100050e110300000d0200061d01060c0401000502140005000005010006020005030005040000031401070000052b0100000d02000d0200061d01060d0214000200000501000502000600030005170400000d03000626010d040003020103000203000303000205fca9f1d24d62503f0500000c0106310600000c010d0300050000000000002e4001050000000000c07240020c00041401030000051b0100000c030603060406010200000c01063105140005000005010006020000030000040005020d02001001061f0d0700061f010e0f0129020006120110030618059a9999999999b93f0621059a9999999999c93f063505333333333333c33f020e0f00030c010d02000a04010d02001503000000000000000000000000000000000000000000000000011503333333333333d33f333333333333d33f333333333333d33f040c00050c010d0500062801063402150300000000000000009a9999999999b93f9a9999999999a93f031503000000000000f03f000000000000000000000000000000000406240610010635062b011403020000051215300100000c030635062106180c02062d06210c01062d030d03000614010c010d0300062b010a000211100207046b696e640617070576616c756505000000000000494002062f04111003070b66756e6374696f6e5f6964062707046b696e64062e0706736f75726365061a051001061911100207046b696e640617070576616c7565050000000000004940060d030004904e010440020432070a02
iso16757 | evaluate | evaluate | 4 | 01010000
iso16757 | selected-check/some | selected-check index=2 | 7 | 01020001000402
iso16757 | selected-check/none | selected-check | 4 | 01020000
