	🧰️framework/🛍️products/💻️os/🔨️modules/🔌️plugin/📦️packages/🦀️rust/../../🦀️component.rs	13608	method should be `async` or return a future, but it is synchronous
E0609	🧰️framework/🛍️products/💻️os/🔨️modules/🔌️plugin/📦️packages/🦀️rust/../../🦀️component.rs	4014	no field `mutation_id` on type `impl std::future::Future<Output = WireMutationRosterEntry>`
E0277	🧰️framework/🛍️products/💻️os/🔨️modules/🔌️plugin/📦️packages/🦀️rust/../../🦀️component.rs	4015	can't compare `WireMutationRosterEntry` with `impl std::future::Future<Output = WireMutationRosterEntry>`
E0609	🧰️framework/🛍️products/💻️os/🔨️modules/🔌️plugin/📦️packages/🦀️rust/../../🦀️component.rs	4016	no field `mutation_id` on type `impl std::future::Future<Output = WireMutationRosterEntry>`
E0609	🧰️framework/🛍️products/💻️os/🔨️modules/🔌️plugin/📦️packages/🦀️rust/../../🦀️component.rs	4019	no field `mutation_id` on type `impl std::future::Future<Output = WireMutationRosterEntry>`
E0599	🧰️framework/🛍️products/💻️os/🔨️modules/🔌️plugin/📦️packages/🦀️rust/../../🦀️component.rs	15330	no method named `map_err` found for opaque type `impl std::future::Future<Output = Result<(), DocumentCodecRegistryError>>` in the current scope
E0271	🧰️framework/🛍️products/💻️os/🔨️modules/🔌️plugin/📦️packages/🦀️rust/../../🦀️component.rs	15331	type mismatch resolving `<Vec<impl Future<Output = FormatDescriptor>> as IntoIterator>::Item == FormatDescriptor`
E0599	🧰️framework/🛍️products/💻️os/🔨️modules/🔌️plugin/📦️packages/🦀️rust/../../🦀️component.rs	15331	no method named `map_err` found for opaque type `impl std::future::Future<Output = Result<(), semio_framework::FormatRegistryError>>` in the current scope
E0271	🧰️framework/🛍️products/💻️os/🔨️modules/🔌️plugin/📦️packages/🦀️rust/../../🦀️component.rs	15331	type mismatch resolving `<Vec<impl Future<Output = FormatDescriptor>> as IntoIterator>::Item == FormatDescriptor`
E0308	🧰️framework/🛍️products/💻️os/🔨️modules/🔌️plugin/📦️packages/🦀️rust/../../🦀️component.rs	4019	mismatched types
E0599	🧰️framework/🛍️products/💻️os/🔨️modules/🔌️plugin/📦️packages/🦀️rust/../../🦀️component.rs	15334	no method named `map_err` found for opaque type `impl Future<Output = Result<(), IoRegistryError>>` in the current scope
