E0053	method `render` has an incompatible type for trait	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/👁️viewer/🦀️component.rs	71
E0689	can't call method `saturating_add` on ambiguous numeric type `{integer}`	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	709
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	816
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	819
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	174
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	174
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	1308
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	1313
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	195
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	195
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	230
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	231
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	238
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	246
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	247
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	260
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	261
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	1714
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	1715
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	1418
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	1424
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	1434
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	1467
E0308	mismatched types	✏️s/🔌️plugins/💠️lowpoly/📦️packages/🦀️rust/././../../🗿️artifacts/💠️lowpoly/🏅️standards/🔖️1/🪆️subsets/✳️any/✏️editor/🦀️component.rs	1486
